scenario,time,subregion,management,level,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
Reference,date=2022-10-4T03:04:51-04:00,MissppRS,IRR,hi,-0.655159,-0.404804,-0.279627,-3.94E-01,-4.47E-01,-4.74E-01,-4.36E-01,-3.39E-01,-2.75E-01,-5.68E-02,9.04E-02,1.66E-01,1.35E-01,1.37E-02,-9.40E-03,-3.58E-02,3.13E-02,6.71E-02,1.36E-01,1.46E-01,1.16E-01,8.86E-02,8.16E-02,8.82E-02,0.0988389,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,MissppRS,IRR,lo,-0.655159,-0.404804,-0.279627,-3.94E-01,-4.47E-01,-4.74E-01,-4.36E-01,-3.39E-01,-9.93E-02,9.27E-02,2.06E-01,2.54E-01,2.25E-01,1.88E-01,1.68E-01,1.51E-01,1.37E-01,1.18E-01,1.01E-01,7.88E-02,5.38E-02,2.98E-02,4.22E-03,-1.55E-02,-0.0320987,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,MissppRS,RFD,hi,-1.56806,-0.967843,-0.667735,-9.35E-01,-1.06E+00,-1.13E+00,-1.04E+00,-8.08E-01,-1.12E+00,-8.21E-01,-5.46E-01,-5.48E-01,-7.14E-01,-1.12E+00,-1.20E+00,-7.26E-01,-2.14E-01,5.56E-02,3.71E-01,4.49E-01,3.70E-01,2.89E-01,2.76E-01,3.08E-01,0.352413,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,MissppRS,RFD,lo,-1.56806,-0.967843,-0.667735,-9.35E-01,-1.06E+00,-1.13E+00,-1.04E+00,-8.08E-01,-3.48E-01,8.31E-02,3.62E-01,4.78E-01,4.34E-01,4.10E-01,4.10E-01,4.15E-01,3.69E-01,3.10E-01,2.37E-01,1.69E-01,1.09E-01,5.01E-02,-2.25E-02,-8.40E-02,-0.137946,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,NelsonR,IRR,hi,-0.0091924,-0.00568438,-0.00393037,-0.00555638,-0.00630377,-0.00667747,-0.00614794,-0.00452767,-0.00441185,-0.00115025,0.00124605,0.00331303,0.00277426,0.00103238,7.55E-04,1.35E-04,9.20E-04,0.00129788,0.00218105,0.00227535,0.00190285,0.00158214,0.00139074,0.00137704,0.0013864,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,NelsonR,IRR,lo,-0.0091924,-0.00568438,-0.00393037,-0.00555638,-0.00630377,-0.00667747,-0.00614794,-0.00452767,-0.00129288,0.00154012,0.00343965,0.0047998,0.00418602,0.00354599,0.00322318,0.0026647,0.00230859,0.00194307,0.00165773,0.00132223,0.00100279,7.05E-04,2.85E-04,-6.32E-05,-3.98E-04,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,NelsonR,RFD,hi,-1.33557,-0.824566,-0.569066,-7.98E-01,-9.07E-01,-9.61E-01,-8.87E-01,-6.55E-01,-8.76E-01,-5.15E-01,-1.97E-01,6.66E-02,-2.55E-02,-3.17E-01,-3.55E-01,-2.28E-01,2.84E-02,1.58E-01,3.47E-01,3.83E-01,3.27E-01,2.76E-01,2.47E-01,2.49E-01,0.254742,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,NelsonR,RFD,lo,-1.33557,-0.824566,-0.569066,-7.98E-01,-9.07E-01,-9.61E-01,-8.87E-01,-6.55E-01,-2.46E-01,1.50E-01,4.31E-01,6.31E-01,5.56E-01,4.89E-01,4.59E-01,4.05E-01,3.51E-01,2.93E-01,2.39E-01,1.85E-01,1.39E-01,9.45E-02,2.92E-02,-2.74E-02,-0.0819033,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,OhioR,IRR,hi,-0.0213649,-0.0132189,-0.00914597,-1.30E-02,-1.47E-02,-1.56E-02,-1.43E-02,-7.20E-03,-8.52E-03,-2.38E-03,1.82E-03,3.90E-03,2.58E-03,-1.14E-03,-1.03E-03,-1.81E-03,3.94E-04,1.76E-03,4.04E-03,4.40E-03,3.48E-03,2.68E-03,2.57E-03,2.88E-03,0.00333233,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,OhioR,IRR,lo,-0.0213649,-0.0132189,-0.00914597,-1.30E-02,-1.47E-02,-1.56E-02,-1.43E-02,-7.20E-03,-2.71E-03,2.63E-03,5.81E-03,7.06E-03,5.86E-03,4.97E-03,5.10E-03,4.56E-03,4.04E-03,3.57E-03,2.97E-03,2.24E-03,1.49E-03,7.82E-04,1.98E-05,-5.71E-04,-0.00104145,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,OhioR,RFD,hi,-3.24149,-2.00254,-1.38306,-1.94597,-2.20992,-2.3419,-2.15817,-1.09444,-2.22594,-1.73977,-1.2679,-1.34477,-1.76001,-2.58229,-2.59897,-1.60364,-0.552744,0.0407271,0.694669,0.862747,0.71208,0.564897,0.562927,0.648392,0.763638,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,OhioR,RFD,lo,-3.24149,-2.00254,-1.38306,-1.94597,-2.20992,-2.3419,-2.15817,-1.09444,-0.630816,0.118868,0.614663,0.802631,0.673222,0.670024,0.788711,0.80494,0.697167,0.596849,0.438011,0.298559,0.184114,0.0754412,-0.06267,-0.18074,-0.280687,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,RioGrande,IRR,hi,-0.00219771,-0.00135517,-9.34E-04,-0.00130177,-0.00148127,-0.00157102,-0.00145025,-0.00155081,-0.00171975,-9.62E-04,-3.89E-04,2.40E-04,3.19E-04,-2.24E-04,-2.26E-04,-6.18E-04,-2.85E-04,-4.67E-05,4.31E-04,5.89E-04,5.17E-04,4.60E-04,5.25E-04,6.47E-04,7.76E-04,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,RioGrande,IRR,lo,-0.00219771,-0.00135517,-9.34E-04,-0.00130177,-0.00148127,-0.00157102,-0.00145025,-0.00155081,-0.00111438,-4.45E-04,1.94E-05,4.41E-04,4.77E-04,2.32E-04,2.32E-04,1.98E-05,1.11E-04,1.65E-04,3.13E-04,3.39E-04,2.79E-04,2.28E-04,2.15E-04,2.36E-04,2.67E-04,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,RioGrande,RFD,hi,-3.36E-04,-2.08E-04,-1.43E-04,-2.01E-04,-2.28E-04,-2.42E-04,-2.23E-04,-2.39E-04,-3.10E-04,-2.15E-04,-1.36E-04,-5.70E-05,-5.51E-05,-1.55E-04,-1.60E-04,-1.74E-04,-8.44E-05,-2.66E-05,6.88E-05,1.01E-04,9.03E-05,8.11E-05,9.40E-05,1.17E-04,1.41E-04,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,RioGrande,RFD,lo,-3.36E-04,-2.08E-04,-1.43E-04,-2.01E-04,-2.28E-04,-2.42E-04,-2.23E-04,-2.39E-04,-1.82E-04,-8.25E-05,-1.17E-05,5.05E-05,5.56E-05,2.08E-05,2.37E-05,9.08E-07,1.74E-05,2.63E-05,4.73E-05,5.04E-05,4.13E-05,3.32E-05,3.05E-05,3.26E-05,3.66E-05,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,TennR,IRR,hi,-4.50E-04,-2.78E-04,-1.92E-04,-2.70E-04,-3.07E-04,-3.25E-04,-2.99E-04,-3.21E-04,-3.48E-04,-1.99E-04,-7.96E-05,-2.57E-05,-4.63E-05,-1.68E-04,-1.74E-04,-1.51E-04,-4.03E-05,2.23E-05,1.18E-04,1.41E-04,1.16E-04,9.31E-05,9.54E-05,1.11E-04,1.30E-04,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,TennR,IRR,lo,-4.50E-04,-2.78E-04,-1.92E-04,-2.70E-04,-3.07E-04,-3.25E-04,-2.99E-04,-3.21E-04,-2.18E-04,-8.10E-05,1.70E-05,5.46E-05,3.88E-05,-7.11E-06,-5.54E-06,2.27E-05,5.86E-05,7.11E-05,8.78E-05,8.14E-05,6.08E-05,4.15E-05,2.74E-05,2.02E-05,1.65E-05,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,TennR,RFD,hi,-0.131852,-0.0813755,-0.0561375,-7.86E-02,-8.94E-02,-9.47E-02,-8.74E-02,-9.35E-02,-1.43E-01,-1.20E-01,-9.42E-02,-9.87E-02,-1.17E-01,-1.71E-01,-1.80E-01,-1.18E-01,-4.58E-02,-6.27E-03,4.05E-02,5.42E-02,4.59E-02,3.78E-02,3.97E-02,4.69E-02,0.0554198,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,TennR,RFD,lo,-0.131852,-0.0813755,-0.0561375,-7.86E-02,-8.94E-02,-9.47E-02,-8.74E-02,-9.35E-02,-7.31E-02,-3.60E-02,-7.06E-03,3.48E-03,9.12E-04,-6.87E-03,-1.79E-03,1.15E-02,2.10E-02,2.35E-02,2.52E-02,2.20E-02,1.60E-02,1.02E-02,5.06E-03,1.67E-03,-6.24E-04,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,TexasCst,IRR,hi,-0.0462732,-0.0286559,-0.0198473,-0.0282565,-0.0320098,-0.0338865,-0.0311579,-0.0334558,-0.0317142,-0.0111817,0.005097,0.0174234,0.0135867,0.0021277,0.00176595,-0.00286749,0.00348888,0.00716571,0.0143024,0.0158383,0.0138799,0.0124759,0.0119804,0.0124193,0.0129072,MtC/yr
