Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP1,2045,1_1_1_10,311286646,249029317,19624920529196,19890876282253,265955753055,189417019,6140463426,749052622,1859618422,8216565896,4255305886,14102173358,230443156420,712317710,122809268,29192478,151426023,408889940,151426023,408889940,560315963,2418,1522,18723396551966,752957428697,379128756659,35393544928,0,19.45255470275879
SSP1,2045,1_10_1_1,311286646,249029317,19833833914288,19890876282253,57042367964,189417019,6140463426,749052622,0,14148469449,0,11374563405,24440402039,712317710,122809268,29192478,0,560315963,0,560315963,560315963,2418,1522,18723396551966,752957428697,379128756659,35393544928,0,19.46947860717773
SSP1,2045,10_1_1_1,311286646,249029317,19759556561213,19890876282253,131319721039,189417019,6140463426,7490526229,45338995202,27745008454,16788480232,3320027651,24306802823,712317710,122809268,29192478,332446565,227869398,332446565,227869398,560315963,2418,1522,18723396551966,752957428697,379128756659,35393544928,0,3.967832565307617
SSP1,2050,1_1_0.5_1,397289407,317831526,30250351187811,30311155102807,60803914996,248749930,5166067316,929356901,1807975542,12434216094,3809099771,5422262341,30986187099,854665237,103321346,36222957,158915763,556205170,158915763,556205170,715120933,2402,1502,28835210435251,954493766251,477533463733,43917437573,0,17.966459274291992
SSP1,2050,1_1_1_1,397289407,317831526,30245383377289,30311155102807,65771725517,248749930,5166067316,929356901,2217788507,11517085318,5234411158,9447214469,31011051915,854665237,103321346,36222957,192319222,522801711,192319222,522801711,715120933,2402,1502,28835210435251,954493766251,477533463733,43917437573,0,16.778852462768555
SSP1,2050,1_1_1_10,397289407,317831526,29973539919903,30311155102807,337615182904,248749930,5166067316,929356901,2543038385,11218536235,5324783731,18074298659,294110351744,854665237,103321346,36222957,192319222,522801711,192319222,522801711,715120933,2402,1502,28835210435251,954493766251,477533463733,43917437573,0,17.163265228271484
SSP1,2050,1_10_1_1,397289407,317831526,30240155166465,30311155102807,70999936342,248749930,5166067316,929356901,0,19122974211,0,14325435343,31207352638,854665237,103321346,36222957,0,715120933,0,715120933,715120933,2402,1502,28835210435251,954493766251,477533463733,43917437573,0,17.357675552368164
SSP1,2050,10_1_1_1,397289407,317831526,30141662763413,30311155102807,169492339394,248749930,5166067316,9293569013,61440009616,36384033416,21730347516,4213462709,31016099873,854665237,103321346,36222957,427438127,287682806,427438127,287682806,715120933,2402,1502,28835210435251,954493766251,477533463733,43917437573,0,17.430532455444336
SSP2,2020,1_1_0.5_1,100314500,80251600,3100587486053,3120094581967,19507095914,47441562,6665585871,286648285,255964632,2055996238,961787381,1461615146,7772056796,325044640,133311717,11166822,40125799,140440300,40125799,140440300,180566100,2458,1571,2733783245523,246667361207,126105096008,13538879228,0,18.33411979675293
SSP2,2020,1_1_1_1,100314500,80251600,3099202444172,3120094581967,20892137795,47441562,6665585871,286648285,371627745,1872404671,1344798492,2509020444,7794610722,325044640,133311717,11166822,49160985,131405114,49160985,131405114,180566100,2458,1571,2733783245523,246667361207,126105096008,13538879228,0,18.142793655395508
SSP2,2020,1_1_1_10,100314500,80251600,3030757576333,3120094581967,89337005633,47441562,6665585871,286648285,245417828,2205199307,1118828407,4387413773,74380470598,325044640,133311717,11166822,34913581,145652518,34913581,145652518,180566100,2458,1571,2733783245523,246667361207,126105096008,13538879228,0,17.74423599243164
SSP2,2020,1_10_1_1,100314500,80251600,3098127449648,3120094581967,21967132319,47441562,6665585871,286648285,0,3284435269,0,3845438006,7837583323,325044640,133311717,11166822,0,180566100,0,180566100,180566100,2458,1571,2733783245523,246667361207,126105096008,13538879228,0,18.559986114501957
SSP2,2020,10_1_1_1,100314500,80251600,3079285915114,3120094581967,40808666852,47441562,6665585871,2866482851,8083184473,10081410646,3616925606,1653426681,7794209158,325044640,133311717,11166822,85143195,95422904,85143195,95422904,180566100,2458,1571,2733783245523,246667361207,126105096008,13538879228,0,18.310937881469727
