Name,LON,LAT,BasinName,Production,Ending,EndingRate
Cooperative Supply,-97.086476,41.574018,OilCrop_MissouriR,245509.09,16690.19,0.06798198019232683
Cooperative Supply Inc,-96.654014,41.577912,OilCrop_MissouriR,245509.09,20164.39,0.0821329738008987
Cooperative Supply Inc,-96.654014,41.577912,OilCrop_MissouriR,245509.09,19073.95,0.07769140421414203
Country Partners Cooperative,-98.067249,41.706791,OilCrop_MissouriR,245509.09,11535.94,0.04698782616561649
Country Partners Cooperative Company,-98.067249,41.706791,OilCrop_MissouriR,245509.09,18314.82,0.07459935808018349
Crossroads Cooperative Association,-102.994967,41.219774,OilCrop_MissouriR,245509.09,21666.42,0.08825097329232671
Crossroads Cooperative Association,-102.994967,41.219774,OilCrop_MissouriR,245509.09,15593.05,0.06351314301120545
CTEC Inc,-97.597126,40.872749,OilCrop_MissouriR,245509.09,19676.25,0.08014467394056062
Grain States Soya Inc,-96.787394,41.916406,OilCrop_MissouriR,245509.09,276.98,0.0011282004847805282
J E Meuret Grain Company,-98.066694,42.176915,OilCrop_MissouriR,245509.09,13914.4,0.05667568268668658
Kaapa Ethanol LLC,-98.948023,40.50671,OilCrop_MissouriR,245509.09,19712.43,0.08029205546949353
Kaapa Grains,-99.074987,40.855162,OilCrop_MissouriR,245509.09,15343.75,0.06249768680839204
Midwest Farmers Cooperative,-96.140884,40.909719,OilCrop_MissouriR,245509.09,4534.12,0.018468237568622026
Pride Grain,-99.92951,42.430005,OilCrop_MissouriR,245509.09,3727.82,0.015184032708726347
Shickley Grain CO Inc,-97.596508,40.524664,OilCrop_MissouriR,245509.09,13775.11,0.05610836913737575
Andersons Investment Service,-83.658294,41.61992,OilCrop_GreatLakes,535395.0,41100.56,0.07676679199618922
Creamer Metal Products Inc,-83.400207,39.894025,OilCrop_OhioR,1042990.0,22372.42,0.02145026942278725
Deerfield Farms Service,-81.197405,41.167681,OilCrop_OhioR,1042990.0,91150.58,0.087393529870407
Elgin Service Center,-84.588163,41.560323,OilCrop_GreatLakes,535395.0,42843.56,0.08002233536225081
Farmers Elevator Grain & SUPL,-84.068235,41.333886,OilCrop_GreatLakes,535395.0,43097.65,0.08049691441007713
Gerald Grain Center,-84.068235,41.333886,OilCrop_GreatLakes,535395.0,44178.56,0.08251583345511981
Hicksville Grain Company,-84.49048,41.323924,OilCrop_GreatLakes,535395.0,38523.97,0.0719542869947362
Jewell Grain Company,-84.49048,41.323924,OilCrop_GreatLakes,535395.0,29276.6,0.05468224142610075
Keller Grain & Feed Inc,-84.619409,40.133276,OilCrop_OhioR,1042990.0,60526.25,0.05803147578902932
Pandora Grain & Supply,-84.131732,41.022129,OilCrop_GreatLakes,535395.0,12428.5,0.02321369313545495
Scott Equity Exchange,-84.586121,40.855415,OilCrop_GreatLakes,535395.0,13431.76,0.025087562324308733
Bewley ConStruction LLC,-93.188865,36.969576,OilCrop_ArkWhtRedR,53165.38,3642.29,0.06850860875909276
Butterfield & Associates Grain Inc,-93.107206,39.87021,OilCrop_MissouriR,245509.09,14955.87,0.06091777241814147
Cameron Cooperative Elevator Association - Mill & Office,-94.404592,39.60178,OilCrop_MissouriR,245509.09,10894.69,0.04437590151221008
"Capital Electric Line Builders, Inc.",-94.773824,39.3803,OilCrop_MissouriR,245509.09,16638.0,0.06776937242099548
Centric Projects LLC,-94.346142,39.00848,OilCrop_MissouriR,245509.09,9757.47,0.03974382218187551
Feed Products & Service Co,-90.443353,38.640542,OilCrop_MissppRN,248600.0,21105.0,0.08489542435347788
Glasgow MFA Agri Service,-92.69628,39.142508,OilCrop_MissouriR,245509.09,14899.82,0.060689472320234326
Home Matters Alliance LLC,-90.443353,38.640542,OilCrop_MissppRN,248600.0,16079.0,0.06467818143507682
Infinite Energy Construction,-94.346142,39.00848,OilCrop_MissouriR,245509.09,3648.99,0.014862960781108747
K C Supply CO Inc,-94.346142,39.00848,OilCrop_MissouriR,245509.09,10678.91,0.043496994098720175
Lawson Agri Service,-93.989931,39.352393,OilCrop_MissouriR,245509.09,9375.84,0.03818939544598473
MFA Agri Svc-Lexington,-93.78551,39.065561,OilCrop_MissouriR,245509.09,2458.16,0.010012498212959653
Mill & Elevator Supply CO Inc,-94.346142,39.00848,OilCrop_MissouriR,245509.09,16669.96,0.0678995644763155
Pilot Grove Cooperative Elevator,-92.810115,38.843552,OilCrop_MissouriR,245509.09,9540.6,0.03886049239339399
Robertson Construction Inc,-90.674882,38.781931,OilCrop_MissppRN,248600.0,19329.26,0.07775247281980344
Seed & Farm Supply,-94.347133,37.502328,OilCrop_ArkWhtRedR,53165.38,672.61,0.012651209511621086
Twin Peaks Contracting Inc,-90.443353,38.640542,OilCrop_MissppRN,248600.0,18380.11,0.07393447324622932
Unerstall Construction,-91.075037,38.411127,OilCrop_MissppRN,248600.0,8595.34,0.03457497686459772
Whitley Construction Co LLC,-94.346142,39.00848,OilCrop_MissouriR,245509.09,6558.74,0.026714864391422632
Agassiz Seeds,-97.248056,46.932983,OilCrop_NelsonR,133851.2,4759.38,0.035557280838200235
Alton Grain Terminal,-97.16162,47.454188,OilCrop_NelsonR,133851.2,4060.58,0.03033654432952766
Bottineau Farmers Elevator,-100.83333,48.792187,OilCrop_NelsonR,133851.2,6470.3,0.04833953211450807
Cando Farmers Grain & Oil Cooperative - Elevator,-99.24579,48.685548,OilCrop_NelsonR,133851.2,119.99,0.0008964719729278592
Central Valley Bean Cooperative,-97.16162,47.454188,OilCrop_NelsonR,133851.2,4476.53,0.03344410150817236
Dakota Dry Bean Inc,-98.720131,48.268944,OilCrop_NelsonR,133851.2,5902.39,0.04409668037548745
Effertz Key Ranch Inc,-100.63629,48.234577,OilCrop_NelsonR,133851.2,12753.67,0.09528244641468882
Farmers Union Elevator,-101.281173,46.71607,OilCrop_MissouriR,245509.09,7805.4,0.031792719911561115
Finley Farmers Grain Company,-97.724708,47.456175,OilCrop_NelsonR,133851.2,12534.65,0.09364612699182025
Fordville CO Op Marketing Association,-97.721355,48.369474,OilCrop_NelsonR,133851.2,7608.02,0.05683940304002185
Gutter Topper OF North Dakota,-101.321866,47.60697,OilCrop_MissouriR,245509.09,1980.55,0.008067121859540116
Harvey Farmers Elevator,-99.660984,47.587531,OilCrop_MissouriR,245509.09,20345.18,0.08286934941145363
James Valley Grain,-98.504678,46.110186,OilCrop_MissouriR,245509.09,2152.06,0.008765697861089706
Lorrich Industries Inc,-97.551857,48.767508,OilCrop_NelsonR,133851.2,125.78,0.0009396712599755053
