Name,BasinName,Production,Ending,EndingRate
Path Construction Co Inc,OilCrop_MissppRN,157941.75,22.18,0.00014042097551240085
Prentice Farmers Elevator,OilCrop_MissppRN,157941.75,15474.93,0.09797874452995274
"R.A. James Construction, Inc.",OilCrop_MissppRN,157941.75,1447.82,0.009166771798240936
Reyes Group Limited,OilCrop_MissppRN,157941.75,2618.6,0.016579550399674948
Roanoke Farmers Association,OilCrop_MissppRN,157941.75,15700.94,0.09940968950263615
Robert P Johnson Grain Company,OilCrop_MissppRN,157941.75,10061.25,0.06370227986814625
Rock River Lumber & Grain Company,OilCrop_MissppRN,157941.75,134.73,0.0008530388626851071
Shore Sales CO Inc,OilCrop_OhioR,662639.0,51709.04,0.07803501098217658
Siemer Milling Company,OilCrop_OhioR,662639.0,52970.33,0.07993845035483206
Stanford Grain Company,OilCrop_MissppRN,157941.75,3479.37,0.022029469972277525
Top Ag Cooperative,OilCrop_MissppRN,157941.75,1275.09,0.008073145353389388
Top Flight Grain,OilCrop_MissppRN,157941.75,13200.53,0.08357848533243048
Tremont Cooperative Grain Company,OilCrop_MissppRN,157941.75,14936.65,0.09457063989016648
Tri Central Cooperative - Main Ofc,OilCrop_MissppRN,157941.75,9933.2,0.06289155084777998
Twomey Company,OilCrop_MissppRN,157941.75,11545.86,0.07310203159007732
Union Iron Works Inc,OilCrop_MissppRN,157941.75,4783.62,0.03028725484038739
US NATIONAL CONSTRUCTION,OilCrop_MissppRN,157941.75,13660.03,0.08648775732636829
Wesemann Feeds,OilCrop_MissppRN,157941.75,4808.12,0.03044237105779124
Bazooka-Farmstar Inc,OilCrop_MissppRN,157941.75,11194.09,0.0708747844928167
Buckingham Co-Operative Company,OilCrop_MissppRN,157941.75,751.3,0.004756837373906431
Clinton Feed & Grain,OilCrop_MissppRN,157941.75,1811.31,0.011468186805508295
Dandea Enterprises Inc,OilCrop_MissppRN,157941.75,666.49,0.004219816033955525
Dunkerton Cooperative,OilCrop_MissppRN,157941.75,9028.28,0.05716211382764828
East Central Iowa Cooperative,OilCrop_MissppRN,157941.75,6768.82,0.04285643743468236
East Central Iowa Cooperative,OilCrop_MissppRN,157941.75,4261.24,0.026979801206358334
Farmers Cooperative,OilCrop_MissppRN,157941.75,10535.92,0.0667076574155413
Farmers Elevator & Exchange,OilCrop_MissppRN,157941.75,11822.65,0.07485446585700166
Gold Eagle Cooperative,OilCrop_MissppRN,157941.75,2515.23,0.015925041839638242
Gold Eagle Cooperative,OilCrop_MissppRN,157941.75,7491.98,0.0474350645578636
Gold Eagle Cooperative,OilCrop_MissppRN,157941.75,10711.83,0.0678213712183919
Gold-Eagle Cooperative,OilCrop_MissppRN,157941.75,5976.6,0.037840556964632274
Heartland Cooperative,OilCrop_MissppRN,157941.75,12267.85,0.07767325843448605
JUHL Feed Store,OilCrop_MissppRN,157941.75,15435.03,0.09772609329831114
Liquid Grow Tri Oak,OilCrop_MissppRN,157941.75,15774.89,0.09987791076570193
North Central Cooperative,OilCrop_MissppRN,157941.75,13929.06,0.0881911362494496
Professional Cooperative,OilCrop_MissppRN,157941.75,3048.48,0.019301263708133076
Pruess Elevator Inc,OilCrop_MissppRN,157941.75,15226.99,0.0964088975345255
Quality AG Service,OilCrop_MissppRN,157941.75,7308.92,0.04627603956758445
Reiff Grain & Feed Inc,OilCrop_MissppRN,157941.75,2080.9,0.01317511943228925
Shellsburg Elevator,OilCrop_MissppRN,157941.75,89.08,0.0005639879790256041
State Line Cooperative Elevator,OilCrop_MissppRN,157941.75,3184.55,0.020162828711943172
Tama Benton Cooperative Company,OilCrop_MissppRN,157941.75,8317.08,0.05265915720058213
Tri-States Grain Conditioning,OilCrop_MissouriR,156419.82,11896.42,0.07605442061833326
Agassiz Valley Grain,OilCrop_NelsonR,85591.2,1119.05,0.013074403233835307
All American Cooperative,OilCrop_MissppRN,157941.75,2799.28,0.01772351564400567
