Name,LON,LAT,BasinName,Production,Ending,EndingRate
Glasgow MFA Agri Service,-92.69628,39.142508,OilCrop_MissouriR,47074.36,3358.48,0.07134411128933783
Home Matters Alliance LLC,-90.443353,38.640542,OilCrop_MissppRN,3805.37,181.67,0.0477408540726979
Infinite Energy Construction,-94.346142,39.00848,OilCrop_MissouriR,47074.36,3535.49,0.07510436769358214
K C Supply CO Inc,-94.346142,39.00848,OilCrop_MissouriR,47074.36,286.4,0.006083928336917166
Lawson Agri Service,-93.989931,39.352393,OilCrop_MissouriR,47074.36,1328.67,0.028224881847490467
MFA Agri Svc-Lexington,-93.78551,39.065561,OilCrop_MissouriR,47074.36,1119.4,0.023779416867740977
Mill & Elevator Supply CO Inc,-94.346142,39.00848,OilCrop_MissouriR,47074.36,364.33,0.007739402976996368
Pilot Grove Cooperative Elevator,-92.810115,38.843552,OilCrop_MissouriR,47074.36,4286.32,0.09105424082291932
Robertson Construction Inc,-90.674882,38.781931,OilCrop_MissppRN,3805.37,290.97,0.07646367825283021
Seed & Farm Supply,-94.347133,37.502328,OilCrop_ArkWhtRedR,22330.42,1034.91,0.04634509522798595
Twin Peaks Contracting Inc,-90.443353,38.640542,OilCrop_MissppRN,3805.37,91.69,0.024093657194841366
Unerstall Construction,-91.075037,38.411127,OilCrop_MissppRN,3805.37,320.71,0.08427956065403812
Whitley Construction Co LLC,-94.346142,39.00848,OilCrop_MissouriR,47074.36,862.69,0.01832619483999588
Agassiz Seeds,-97.248056,46.932983,OilCrop_NelsonR,1478.78,99.13,0.06703224424297025
Alton Grain Terminal,-97.16162,47.454188,OilCrop_NelsonR,1478.78,26.78,0.0181066757816143
Bottineau Farmers Elevator,-100.83333,48.792187,OilCrop_NelsonR,1478.78,72.43,0.04897979941806346
Cando Farmers Grain & Oil Cooperative - Elevator,-99.24579,48.685548,OilCrop_NelsonR,1478.78,37.99,0.02569264491763945
Central Valley Bean Cooperative,-97.16162,47.454188,OilCrop_NelsonR,1478.78,79.38,0.05367974516205355
Dakota Dry Bean Inc,-98.720131,48.268944,OilCrop_NelsonR,1478.78,114.46,0.07739879822711802
Effertz Key Ranch Inc,-100.63629,48.234577,OilCrop_NelsonR,1478.78,112.24,0.07590082725551944
Farmers Union Elevator,-101.281173,46.71607,OilCrop_MissouriR,47074.36,2824.89,0.060009197182262684
Finley Farmers Grain Company,-97.724708,47.456175,OilCrop_NelsonR,1478.78,79.87,0.054013238245919526
Fordville CO Op Marketing Association,-97.721355,48.369474,OilCrop_NelsonR,1478.78,139.96,0.09464728295630562
Gutter Topper OF North Dakota,-101.321866,47.60697,OilCrop_MissouriR,47074.36,1857.87,0.03946672661860268
Harvey Farmers Elevator,-99.660984,47.587531,OilCrop_MissouriR,47074.36,2646.4,0.05621735268627429
James Valley Grain,-98.504678,46.110186,OilCrop_MissouriR,47074.36,2745.98,0.05833271312487518
Lorrich Industries Inc,-97.551857,48.767508,OilCrop_NelsonR,1478.78,119.1,0.08054074855059867
Maple River Grain & Agronomy,-97.248056,46.932983,OilCrop_NelsonR,1478.78,142.49,0.09635508603885722
Martin Construction Inc,-102.65513,46.810691,OilCrop_MissouriR,47074.36,2847.87,0.06049728727960942
Mayport Farmers Cooperative,-97.16162,47.454188,OilCrop_NelsonR,1478.78,11.12,0.007516589434785614
Powers Lake Elevator Company,-102.518309,48.791005,OilCrop_NelsonR,1478.78,26.32,0.01779973899280769
Reynolds United Cooperative,-97.456983,47.921919,OilCrop_NelsonR,1478.78,38.51,0.026044072553188646
Reynolds United Cooperative,-97.16162,47.454188,OilCrop_NelsonR,1478.78,106.38,0.07193502275973371
South Central Grain,-99.477433,46.457363,OilCrop_MissouriR,47074.36,2659.43,0.05649422324053681
Wanzek Construction Inc,-97.248056,46.932983,OilCrop_NelsonR,1478.78,72.88,0.04928721618757137
Woody's Feed & Grain,-102.65513,46.810691,OilCrop_MissouriR,47074.36,1432.24,0.030424956086372558
A G Partners Cooperative Inc,-95.564215,39.826495,OilCrop_MissouriR,47074.36,3202.67,0.06803424921891764
