Name,BasinName,Production,Ending,EndingRate
Mid Continent Industries,OilCrop_ArkWhtRedR,14642.81,758.25,0.05178343413627926
Minneola Cooperative Inc,OilCrop_ArkWhtRedR,14642.81,724.41,0.04947178513126752
OK Company Op Grain Company,OilCrop_ArkWhtRedR,14642.81,1000.48,0.06832574806668637
Opp Concrete,OilCrop_ArkWhtRedR,14642.81,1125.91,0.0768919369559243
Pawnee County Cooperative Association,OilCrop_ArkWhtRedR,14642.81,1423.7,0.09722893206292965
Premier Construction Service Inc,OilCrop_ArkWhtRedR,14642.81,601.35,0.041067840246792976
Pro-Ag Marketing,OilCrop_MissouriR,30844.0,644.8,0.02090535924000573
Sherwood Construction Co Inc,OilCrop_ArkWhtRedR,14642.81,1136.81,0.07763600581596206
Southern Plains Cooperative,OilCrop_ArkWhtRedR,14642.81,135.86,0.009278277457491702
Stafford County Flour Mills,OilCrop_ArkWhtRedR,14642.81,343.17,0.023436060922797597
Steinlite Corporation,OilCrop_MissouriR,30844.0,2308.47,0.0748435500232058
United Prairie Agency LLC,OilCrop_ArkWhtRedR,14642.81,1155.21,0.07889231699872103
Wildcat Construction Co Inc,OilCrop_ArkWhtRedR,14642.81,222.07,0.015165813288639817
Woofter Construction & Irrigation,OilCrop_MissouriR,30844.0,11.09,0.00035965965003901255
Dakota Plains AG Center,OilCrop_MissouriR,30844.0,2827.6,0.09167420898568351
Farmers Cooperative Elevator,OilCrop_MissppRN,2493.64,184.11,0.07383238415319496
Harrold Grain Co LLC,OilCrop_MissouriR,30844.0,1778.71,0.05766779028740728
Madison Farmers Elevator Company,OilCrop_MissouriR,30844.0,768.04,0.024900680185747082
Southeast Farmers Elevator,OilCrop_MissouriR,30844.0,2128.9,0.0690213709157364
