Scenario,Year,Rates,OBJ_vaules,Cost_Farmers,Cost_Barges,Cost_Rails,Cost_Oceans,Total_production,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,Demand
SSP1,2020,1_5_10_1,8325417269935,2648793937356,1227904163418,1220490083524,3179426726269,79385707856,23815712356,10245640116,32615227598,10245640116,32615227598,42860867715,100314500
SSP1,2020,1_5_10_5,17070312630723,2296670903230,4521174821117,710872048877,9492792498131,79385707856,23815712356,37724711341,5136156373,37724711341,5136156373,42860867715,100314500
SSP1,2020,1_5_10_10,26563105128855,2296670903230,4521174821117,710872048877,18985584996262,79385707856,23815712356,37724711341,5136156373,37724711341,5136156373,42860867715,100314500
SSP1,2020,1_10_0.5_0.5,3851458644903,2538815154365,0,324672567778,939168563392,79385707856,23706946712,0,42969633360,0,42969633360,42969633360,100314500
SSP1,2020,1_10_0.5_1,4775143210158,2542038823833,0,384210711188,1800091315769,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_10_0.5_5,11769388226277,2543825249562,0,535364657339,8641395960008,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_10_0.5_10,20406864976839,2543825249562,0,541211689020,17273025678889,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_10_1_0.5,4171920844790,2542838110858,0,639372257089,940908117474,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_10_1_1,5111860235853,2542560028983,0,646247183969,1874250663534,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_10_1_5,12303503686919,2550503805775,0,1062790313525,8641407208252,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_10_1_10,20944893118883,2550321657205,0,1063077299995,17282691802315,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_10_5_0.5,5639381305319,2653952776063,0,1271604657221,1665021512667,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_10_5_1,7161788228988,2574226330839,0,1804334261458,2734425277324,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_10_5_5,15185815873494,2549938696417,0,3209799682369,9377275135340,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_10_5_10,24417504108113,2560823768093,0,3806775835799,18001102144854,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_10_10_0.5,6623947152983,3301583119871,0,1458740430658,1814821243086,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_10_10_1,8421409607222,3156187410786,0,1686467538668,3529952298400,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_10_10_5,18362926723839,2592105032020,0,6303222915992,9418796416459,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,1_10_10_10,27770132940371,2565636007261,0,6394035510403,18761659063339,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,5_0.5_0.5_0.5,8048488596832,5998413567729,597832432077,163768140416,1239672097242,79385707856,10211042093,36135414582,20330123395,36135414582,20330123395,56465537978,100314500
SSP1,2020,5_0.5_0.5_1,9221917045224,6187013119038,546337020186,180906715166,2258857831465,79385707856,14384903014,33200385033,19091292024,33200385033,19091292024,52291677057,100314500
SSP1,2020,5_0.5_0.5_5,16938134128299,7139733775899,447313928493,200184448877,9102099615662,79385707856,23815712356,25451050738,17409816976,25451050738,17409816976,42860867715,100314500
SSP1,2020,5_0.5_0.5_10,25895920037984,7176158111670,810106088441,218091872579,17642761605926,79385707856,23815712356,24357803130,18503064584,24357803130,18503064584,42860867715,100314500
SSP1,2020,5_0.5_1_0.5,8204557170454,6024476586106,603639214832,301377166549,1226261843599,79385707856,10978984458,36619932903,19077662709,36619932903,19077662709,55697595613,100314500
SSP1,2020,5_0.5_1_1,9382026609641,6204495796545,552143802941,293729757297,2282854893489,79385707856,14707783016,33684903354,18283893701,33684903354,18283893701,51968797055,100314500
SSP1,2020,5_0.5_1_5,17133124893170,7121641865887,474818548516,377539000998,9110323118400,79385707856,23815712356,26447860113,16413007601,26447860113,16413007601,42860867715,100314500
SSP1,2020,5_0.5_1_10,26109612164670,7149928990227,850142652392,401898649942,17658839512741,79385707856,23815712356,25660141551,17200726164,25660141551,17200726164,42860867715,100314500
SSP1,2020,5_0.5_5_0.5,8740697380000,6215698380666,697213060729,374592597431,1404390981807,79385707856,12449968907,41943666288,12282944876,41943666288,12282944876,54226611164,100314500
SSP1,2020,5_0.5_5_1,10023710198432,6536479096899,743714414822,322052577203,2372661750140,79385707856,16436496173,42708997006,7531086892,42708997006,7531086892,50240083899,100314500
SSP1,2020,5_0.5_5_5,17950175120462,7358307944716,778970964380,479646547129,9284447304870,79385707856,23815712356,36684393066,6176474649,36684393066,6176474649,42860867715,100314500
SSP1,2020,5_0.5_5_10,27076044568275,7383311387425,1177958154458,510002535856,17955970131168,79385707856,23815712356,36596394209,6264473505,36596394209,6264473505,42860867715,100314500
SSP1,2020,5_0.5_10_0.5,9020382061620,6588716482443,801062270169,312573935354,1269227014286,79385707856,13494856251,47445786541,5735937279,47445786541,5735937279,53181723820,100314500
SSP1,2020,5_0.5_10_1,10217931333925,6899716394797,807627818510,159210764747,2302573996502,79385707856,16843492728,46936877636,2896209706,46936877636,2896209706,49833087343,100314500
SSP1,2020,5_0.5_10_5,18160687129823,7886671064053,897521476468,53424280536,9274267949398,79385707856,23815712356,42474869335,385998379,42474869335,385998379,42860867715,100314500
SSP1,2020,5_0.5_10_10,27288784506140,7919278246973,1299234363121,53424280536,17968045256142,79385707856,23815712356,42474869335,385998379,42474869335,385998379,42860867715,100314500
SSP1,2020,5_1_0.5_0.5,8598294135468,6160903254221,1016908004511,179650929478,1192029587890,79385707856,12353051809,31780011754,22543516507,31780011754,22543516507,54323528262,100314500
SSP1,2020,5_1_0.5_1,9741554006177,6320614416651,961153553805,200146288261,2210837388091,79385707856,15366464874,30005430060,21304685136,30005430060,21304685136,51310115197,100314500
SSP1,2020,5_1_0.5_5,17356341997735,7207807136149,793229111682,224079450007,9082423940529,79385707856,23815712356,23632889350,19227978364,23632889350,19227978364,42860867715,100314500
SSP1,2020,5_1_0.5_10,26399128382704,7408952799477,655178231146,274447823222,18011747169491,79385707856,23815712356,20055395308,22805472406,20055395308,22805472406,42860867715,100314500
SSP1,2020,5_1_1_0.5,8765486053507,6163347672626,1052728925099,321782690748,1178824405665,79385707856,13120994175,33064699790,20490886105,33064699790,20490886105,53555585896,100314500
SSP1,2020,5_1_1_1,9913711894058,6315302516025,994516570068,316747177970,2238343270627,79385707856,15689344877,31187574250,19799660943,31187574250,19799660943,50987235194,100314500
SSP1,2020,5_1_1_5,17573493099903,7157626539557,846122715843,409423730999,9111517754135,79385707856,23815712356,25094787246,17766080468,25094787246,17766080468,42860867715,100314500
SSP1,2020,5_1_1_10,26655549452906,7231921357992,784962384584,458884776754,18130978574208,79385707856,23815712356,23201735761,19659131953,23201735761,19659131953,42860867715,100314500
SSP1,2020,5_1_5_0.5,9355970903412,6325087938475,1160210004841,415188944376,1406681656352,79385707856,14689539413,37342241516,14644799142,37342241516,14644799142,51987040659,100314500
SSP1,2020,5_1_5_1,10678999831064,6581089886966,1144155635013,406997273686,2497954676031,79385707856,17526823678,37223948454,11925807939,37223948454,11925807939,49149756393,100314500
SSP1,2020,5_1_5_5,18609976808093,7290763851060,1185551293822,677973444765,9406885859077,79385707856,23815712356,34353585608,8507282107,34353585608,8507282107,42860867715,100314500
SSP1,2020,5_1_5_10,27934010302979,7282016158724,1326485910811,855981515585,18420724358491,79385707856,23815712356,33269788479,9591079235,33269788479,9591079235,42860867715,100314500
SSP1,2020,5_1_10_0.5,9702027523306,6576071528712,1242798045432,519771346604,1314584243191,79385707856,15734426757,40510170147,10431983167,40510170147,10431983167,50942153315,100314500
SSP1,2020,5_1_10_1,10954115440869,6854522100546,1297291773497,374759337920,2378739869538,79385707856,18151351524,41355916564,7169311983,41355916564,7169311983,48525228548,100314500
SSP1,2020,5_1_10_5,18944468584585,7915189954541,1504408614035,53424280536,9422643376104,79385707856,23815712356,42474869335,385998379,42474869335,385998379,42860867715,100314500
SSP1,2020,5_1_10_10,28311661646913,7950709309068,1757962928523,53424280536,18500762769418,79385707856,23815712356,42474869335,385998379,42474869335,385998379,42860867715,100314500
SSP1,2020,5_5_0.5_0.5,10784537080104,8144929963137,1251131562090,288486527173,1051186668336,79385707856,18637422953,10439449677,37599707440,10439449677,37599707440,48039157118,100314500
SSP1,2020,5_5_0.5_1,11795444401126,8230114434690,1239439242419,323141189857,1953947174791,79385707856,20602968264,10341888888,35731722919,10341888888,35731722919,46073611808,100314500
SSP1,2020,5_5_0.5_5,19014657933602,8857342518353,882176863944,438985366898,8787350825039,79385707856,23815712356,7360889339,35499978375,7360889339,35499978375,42860867715,100314500
SSP1,2020,5_5_0.5_10,27768020940602,9112689604586,648818632767,468695503318,17489014840563,79385707856,23815712356,5413746780,37447120934,5413746780,37447120934,42860867715,100314500
SSP1,2020,5_5_1_0.5,11061978022125,8084611754623,1348108653381,544213209749,1036242045003,79385707856,19502926108,11248627141,35925026821,11248627141,35925026821,47173653963,100314500
SSP1,2020,5_5_1_1,12077052215804,8157790816124,1336416333711,530642366450,2003400340151,79385707856,20925848266,11151066352,34599665453,11151066352,34599665453,45750731805,100314500
SSP1,2020,5_5_1_5,19436153761841,8531673126890,1203025103985,812245113025,8840408058572,79385707856,23815712356,10038049086,32822818628,10038049086,32822818628,42860867715,100314500
SSP1,2020,5_5_1_10,28232327224123,9095542929913,665332169974,920027977975,17502621786892,79385707856,23815712356,5551535840,37309331875,5551535840,37309331875,42860867715,100314500
SSP1,2020,5_5_5_0.5,12172682461320,7734980837187,1961802298726,944315278642,1482781687396,79385707856,21429428600,16029512899,29217638572,16029512899,29217638572,45247151471,100314500
SSP1,2020,5_5_5_1,13529807158006,7793508813834,2091535953964,1094391483645,2501568547195,79385707856,22941992902,17112011340,26622575829,17112011340,26622575829,43734587169,100314500
SSP1,2020,5_5_5_5,21409868992726,7819340375038,2191212468433,1948126980230,9402386809657,79385707856,23815712356,17697635313,25163232401,17697635313,25163232401,42860867715,100314500
SSP1,2020,5_5_5_10,30697487393882,7857519823417,2098038090927,2386089029869,18307038090301,79385707856,23815712356,16920187717,25940679997,16920187717,25940679997,42860867715,100314500
