Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP1,2045,1_1_1_10,311286646,249029317,19624460729959,19890876282253,266415552292,189417019,6649235387,749052622,1829884794,8188379093,4300374907,14066052047,230443156420,722493150,132984707,29192478,152287465,408028498,152287465,408028498,560315963,2418,1522,18723396551966,752957428697,379128756659,35393544928,0,26.32994270324707
SSP1,2045,1_10_1_1,311286646,249029317,19833367709297,19890876282253,57508572955,189417019,6649235387,749052622,0,14100446011,0,11379429928,24440991985,722493150,132984707,29192478,0,560315963,0,560315963,560315963,2418,1522,18723396551966,752957428697,379128756659,35393544928,0,27.31096649169922
SSP1,2045,10_1_1_1,311286646,249029317,19759008808997,19890876282253,131867473255,189417019,6649235387,7490526229,44576925883,28607909382,16623716210,3428502788,24301240352,722493150,132984707,29192478,328477269,231838694,328477269,231838694,560315963,2418,1522,18723396551966,752957428697,379128756659,35393544928,0,4.293964385986328
SSP1,2050,1_1_0.5_1,397289407,317831526,30249981396199,30311155102807,61173706607,248749930,5803975419,929356901,1786161984,12184213804,3809099771,5426078489,30986070305,867423399,116079508,36222957,158915763,556205170,158915763,556205170,715120933,2402,1502,28835210435251,954493766251,477533463733,43917437573,0,22.641965866088867
SSP1,2050,1_1_1_1,397289407,317831526,30244992990228,30311155102807,66162112579,248749930,5803975419,929356901,2259532735,11181036408,5199788637,9540402500,30999270046,867423399,116079508,36222957,191482883,523638050,191482883,523638050,715120933,2402,1502,28835210435251,954493766251,477533463733,43917437573,0,22.67900657653809
SSP1,2050,1_1_1_10,397289407,317831526,29973151215480,30311155102807,338003887328,248749930,5803975419,929356901,2478617531,11022360981,5310048257,18100426561,294110351744,867423399,116079508,36222957,191482883,523638050,191482883,523638050,715120933,2402,1502,28835210435251,954493766251,477533463733,43917437573,0,22.68299674987793
SSP1,2050,1_10_1_1,397289407,317831526,30239782870382,30311155102807,71372232425,248749930,5803975419,929356901,0,18840949960,0,14342926860,31206273353,867423399,116079508,36222957,0,715120933,0,715120933,715120933,2402,1502,28835210435251,954493766251,477533463733,43917437573,0,24.50697135925293
SSP1,2050,10_1_1_1,397289407,317831526,30142199620781,30311155102807,168955482026,248749930,5803975419,9293569013,60476540780,36413144553,21494963175,4195558282,31028980869,867423399,116079508,36222957,425810411,289310522,425810411,289310522,715120933,2402,1502,28835210435251,954493766251,477533463733,43917437573,0,4.372995376586914
SSP2,2020,1_1_0.5_1,100314500,80251600,3100254504790,3120094581967,19840077177,47441562,6976808796,286648285,243225644,2086070831,961787381,1465354435,7772740241,331269098,139536175,11166822,40125800,140440300,40125800,140440300,180566100,2458,1571,2733783245523,246667361207,126105096008,13538879228,0,26.21098518371582
SSP2,2020,1_1_1_1,100314500,80251600,3098891617292,3120094581967,21202964675,47441562,6976808796,286648285,382594304,1864411862,1395830275,2446702206,7802527382,331269098,139536175,11166822,50377745,130188354,50377745,130188354,180566100,2458,1571,2733783245523,246667361207,126105096008,13538879228,0,26.310964584350582
SSP2,2020,1_1_1_10,100314500,80251600,3030444561461,3120094581967,89650020506,47441562,6976808796,286648285,274406018,2168575396,1214395395,4390813537,74290931514,331269098,139536175,11166822,37309183,143256916,37309183,143256916,180566100,2458,1571,2733783245523,246667361207,126105096008,13538879228,0,24.06503677368164
SSP2,2020,1_10_1_1,100314500,80251600,3097789801011,3120094581967,22304780956,47441562,6976808796,286648285,0,3332220853,0,3806818419,7854843039,331269098,139536175,11166822,0,180566100,0,180566100,180566100,2458,1571,2733783245523,246667361207,126105096008,13538879228,0,23.468965530395508
SSP2,2020,10_1_1_1,100314500,80251600,3078818531934,3120094581967,41276050033,47441562,6976808796,2866482851,8517366692,9710428491,3810310040,1548184123,7799027474,331269098,139536175,11166822,88491865,92074234,88491865,92074234,180566100,2458,1571,2733783245523,246667361207,126105096008,13538879228,0,23.8590030670166
